old,id,pop,sex,genotype,tree,gallery,region,organism,lon,lat,elev
Ba4aM,BT4a2,NthBarrington,male,9,4,a,North,Austroplatypus,151.6354167,-31.911183,485
Ba6aF,BT6a1,NthBarrington,female,9,6,a,North,Austroplatypus,151.6312333,-31.90075,561
Ba8aF,BT8a1,SthBarrington,female,9,8,a,Central,Austroplatypus,151.518032,-32.156959,477
Ba8aF,BT8a2,SthBarrington,female,9,8,a,Central,Austroplatypus,151.518032,-32.156959,477
Ba9cF,BT9c1,SthBarrington,female,9,9,c,Central,Austroplatypus,151.518376,-32.15473,488
Ba9cF,BT9c2,SthBarrington,female,9,9,c,Central,Austroplatypus,151.518376,-32.15473,488
Ba10aF,BT10a1,SthBarrington,female,9,10,a,Central,Austroplatypus,151.503133,-32.147782,627
B11AF,BW11a1,Broadwater,female,1,11,a,South,Austroplatypus,149.9028333,-37.011733,168
B11aF,BW11a2,Broadwater,female,1,11,a,South,Austroplatypus,149.9028333,-37.011733,168
B11BM,BW11b1,Broadwater,male,1,11,b,South,Austroplatypus,149.9028333,-37.011733,168
B19DF,BW19d2,Broadwater,female,1,19,d,South,Austroplatypus,149.9027,-37.011583,160
B23AM,BW23a1,Broadwater,male,1,23,a,South,Austroplatypus,149.902,-37.012,179
B26AM,BW26a2,Broadwater,male,1,26,a,South,Austroplatypus,149.904,-37.012,179
9CB1a18,Cu1a,Cumberland,female,10,1,a,Central,Austroplatypus,151.040079,-33.743641,150
8CB2a25,Cu2a1,Cumberland,female,10,2,a,Central,Austroplatypus,151.040079,-33.743641,150
8CC1a17,Cu3a1,Cumberland,female,10,3,a,Central,Austroplatypus,151.040079,-33.743641,150
8CD1a8,Cu4a1,Cumberland,male,10,4,a,Central,Austroplatypus,151.040079,-33.743641,150
8CA5a4,Cu5d1,Cumberland,male,10,5,d,Central,Austroplatypus,151.040079,-33.743641,150
8CF1a2,Cu6a1,Cumberland,female,10,6,a,Central,Austroplatypus,151.040079,-33.743641,150
8CG2ab,Cu7a1,Cumberland,female,10,7,a,Central,Austroplatypus,151.040079,-33.743641,150
9CA6a2,Cu8a1,Cumberland,male,10,8,a,Central,Austroplatypus,151.040079,-33.743641,150
9C2Ba9,Cu9a1,Cumberland,male,10,9,a,Central,Austroplatypus,151.040079,-33.743641,150
8Cb2a27,Cu10a1,Cumberland,female,10,10,a,Central,Austroplatypus,151.040079,-33.743641,150
8CC1a3,Cu11a1,Cumberland,male,10,11,a,Central,Austroplatypus,151.040079,-33.743641,150
8CD1a9,Cu12a1,Cumberland,male,10,12,a,Central,Austroplatypus,151.040079,-33.743641,150
DSF1aeFa,Da1a2,Dampier,female,2,1,a,South,Austroplatypus,149.872,-36.0928,317.0849
DSF2a1Ma,Da2a1,Dampier,male,2,2,a,South,Austroplatypus,149.8719667,-36.092267,284
