"","x"
"1","BT10a1"
"2","BT4a2"
"3","BT6a1"
"4","BT8a1"
"5","BT9c1"
"6","BW10af"
"7","BW11a2"
"8","BW11b1"
"9","BW11cf"
"10","BW19cf"
"11","BW19d2"
"12","BW19df"
"13","BW20bf"
"14","BW23a1"
"15","BW24bm"
"16","BW26a2"
"17","BW27af"
"18","BW31am"
"19","BW32am"
"20","BW32bf"
"21","BW3am"
"22","BW9af"
"23","Cu10a1"
"24","Cu11a1"
"25","Cu12a1"
"26","Cu1a"
"27","Cu2a1"
"28","Cu3a1"
"29","Cu4a1"
"30","Cu5d1"
"31","Cu6a1"
"32","Cu7a1"
"33","Cu8a1"
"34","Cu9a1"
"35","Da11a2"
"36","Da14af"
"37","Da15a2"
"38","Da15af"
"39","Da17af"
"40","Da18af"
"41","Da19a1"
"42","Da1a2"
"43","Da20af"
"44","Da24a1"
"45","Da29a1"
"46","Da2a1"
"47","Da3af"
"48","Da4a1"
"49","Da7b1"
"50","Da9a1"
"51","Do11b1"
"52","Do1a2"
"53","Do1bm"
"54","Do2a2"
"55","Do2c2"
"56","Do3a2"
"57","Do4af"
"58","Do5a2"
"59","Do5bm"
"60","Do6af"
"61","Do6bf"
"62","Do7a2"
"63","Do8b1"
"64","Do8bm"
"65","Ke13a2"
"66","Ke17am"
"67","Ke18dm"
"68","Ke20b1"
"69","Ke21b1"
"70","Ke24d1"
"71","Ke3ef"
"72","Ke6bf"
"73","Ke6df"
"74","Ke6ef"
"75","Ke6mb"
"76","Ke8a1"
"77","MF13a1"
"78","MF15a1"
"79","MF15bf"
"80","MF16a2"
"81","MF17am"
"82","MF2a2"
"83","MF2b1"
"84","MF5bf"
"85","MF6b1"
"86","MF6c1"
"87","MF9a2"
"88","MW10a1"
"89","MW12a1"
"90","MW12bm"
"91","MW2af"
"92","MW3am"
"93","MW3bf"
"94","MW3d1"
"95","MW4a1"
"96","MW5am"
"97","MW5bm"
"98","MW8a1"
"99","MW9a1"
"100","MW9c1"
"101","Ol12a1"
"102","Ol12cf"
"103","Ol12dm"
"104","Ol12ef"
"105","Ol13am"
"106","Ol14a1"
"107","Ol15a1"
"108","Ol18a2"
"109","Ol1cf"
"110","Ol20bm"
"111","Ol21a2"
"112","Ol23a1"
"113","Ol4a1"
"114","Ol4bm"
"115","Ol5a1"
"116","Ol6af"
"117","Te3a1"
"118","Te3bf"
"119","Te3c1"
"120","Te4a2"
"121","Te5am"
"122","Te6a2"
"123","Te7a2"
"124","Te7b2"
"125","Te9af"
"126","Te9b1"
