"","x"
"1","BT4a2"
"2","BT6a1"
"3","Do11b1"
"4","Do11b2"
"5","Do1a2"
"6","Do1af"
"7","Do1bm"
"8","Do2a2"
"9","Do2af"
"10","Do2c2"
"11","Do2cm"
"12","Do3a2"
"13","Do3af"
"14","Do4a1"
"15","Do4a2"
"16","Do4af"
"17","Do5a2"
"18","Do5af"
"19","Do5bm"
"20","Do6af"
"21","Do6am"
"22","Do6b2"
"23","Do6bf"
"24","Do7a2"
"25","Do7af"
"26","Do7am"
"27","Do8b1"
"28","Do8bf"
"29","Do8bm"
"30","Ke13a2"
"31","Ke17am"
"32","Ke18dm"
"33","Ke20b1"
"34","Ke20bm"
"35","Ke20bm2"
"36","Ke21b1"
"37","Ke21bm"
"38","Ke24d1"
"39","Ke3ef"
"40","Ke6b2"
"41","Ke6bf"
"42","Ke6df"
"43","Ke6ef"
"44","Ke6mb"
"45","Ke8a1"
"46","Ke8am2"
