popsubpop ,pop,Subpop,region
Barrington10,Barrington,10,North
Barrington4,Barrington,4,North
Barrington6,Barrington,6,North
Barrington8,Barrington,8,North
Barrington8,Barrington,8,North
Barrington9,Barrington,9,North
Barrington9,Barrington,9,North
Broadwater10,Broadwater,10,South
Broadwater11,Broadwater,11,South
Broadwater11,Broadwater,11,South
Broadwater11,Broadwater,11,South
Broadwater11,Broadwater,11,South
Broadwater19,Broadwater,19,South
Broadwater19,Broadwater,19,South
Broadwater19,Broadwater,19,South
Broadwater20,Broadwater,20,South
Broadwater23,Broadwater,23,South
Broadwater24,Broadwater,24,South
Broadwater26,Broadwater,26,South
Broadwater27,Broadwater,27,South
Broadwater3,Broadwater,3,South
Broadwater31,Broadwater,31,South
Broadwater32,Broadwater,32,South
Broadwater32,Broadwater,32,South
Broadwater9,Broadwater,9,South
Cumberland10,Cumberland,1,Central
Cumberland1,Cumberland,10,Central
Cumberland11,Cumberland,11,Central
Cumberland12,Cumberland,12,Central
Cumberland2,Cumberland,2,Central
Cumberland3,Cumberland,3,Central
Cumberland4,Cumberland,4,Central
Cumberland5,Cumberland,5,Central
Cumberland6,Cumberland,6,Central
Cumberland7,Cumberland,7,Central
Cumberland8,Cumberland,8,Central
Cumberland9,Cumberland,9,Central
Dampier1,Dampier,1,South
Dampier1,Dampier,1,South
Dampier11,Dampier,11,South
Dampier11,Dampier,11,South
Dampier14,Dampier,14,South
Dampier15,Dampier,15,South
Dampier15,Dampier,15,South
Dampier17,Dampier,17,South
Dampier18,Dampier,18,South
Dampier19,Dampier,19,South
Dampier19,Dampier,19,South
Dampier2,Dampier,2,South
Dampier20,Dampier,20,South
Dampier24,Dampier,24,South
Dampier29,Dampier,29,South
Dampier3,Dampier,3,South
Dampier4,Dampier,4,South
Dampier4,Dampier,4,South
Dampier7,Dampier,7,South
Dampier7,Dampier,7,South
Dampier9,Dampier,9,South
Dampier9,Dampier,9,South
Dorrigo1,Dorrigo,1,North
Dorrigo1,Dorrigo,1,North
Dorrigo1,Dorrigo,1,North
Dorrigo11,Dorrigo,11,North
Dorrigo11,Dorrigo,11,North
Dorrigo2,Dorrigo,2,North
Dorrigo2,Dorrigo,2,North
Dorrigo2,Dorrigo,2,North
Dorrigo2,Dorrigo,2,North
Dorrigo3,Dorrigo,3,North
Dorrigo3,Dorrigo,3,North
Dorrigo4,Dorrigo,4,North
Dorrigo4,Dorrigo,4,North
Dorrigo4,Dorrigo,4,North
Dorrigo5,Dorrigo,5,North
Dorrigo5,Dorrigo,5,North
Dorrigo5,Dorrigo,5,North
Dorrigo6,Dorrigo,6,North
Dorrigo6,Dorrigo,6,North
Dorrigo6,Dorrigo,6,North
Dorrigo6,Dorrigo,6,North
Dorrigo7,Dorrigo,7,North
Dorrigo7,Dorrigo,7,North
Dorrigo7,Dorrigo,6,North
Dorrigo8,Dorrigo,8,North
Dorrigo8,Dorrigo,8,North
Dorrigo8,Kerewong,8,North
Kerewong13,Kerewong,13,North
Kerewong17,Kerewong,17,North
Kerewong18,Kerewong,18,North
Kerewong20,Kerewong,20,North
Kerewong20,Kerewong,20,North
Kerewong20,Kerewong,20,North
Kerewong21,Kerewong,21,North
Kerewong21,Kerewong,21,North
Kerewong24,Kerewong,24,North
Kerewong3,Kerewong,3,North
Kerewong6,Kerewong,6,North
Kerewong6,Kerewong,6,North
Kerewong6,Kerewong,6,North
Kerewong6,Kerewong,6,North
Kerewong6,Kerewong,6,North
Kerewong8,Kerewong,8,North
Kerewong8,MaresForest,8,Central
MaresForest13,MaresForest,13,Central
MaresForest13,MaresForest,13,Central
MaresForest13,MaresForest,13,Central
MaresForest15,MaresForest,15,Central
MaresForest15,MaresForest,15,Central
MaresForest15,MaresForest,15,Central
MaresForest16,MaresForest,16,Central
MaresForest16,MaresForest,16,Central
MaresForest17,MaresForest,17,Central
MaresForest2,MaresForest,2,Central
MaresForest2,MaresForest,2,Central
MaresForest2,MaresForest,2,Central
MaresForest2,MaresForest,2,Central
MaresForest2,MaresForest,2,Central
MaresForest5,MaresForest,5,Central
MaresForest6,MaresForest,6,Central
MaresForest6,MaresForest,6,Central
MaresForest6,MaresForest,6,Central
MaresForest6,MaresForest,6,Central
MaresForest6,MaresForest,6,Central
MaresForest9,MaresForest,9,Central
MaresForest9,MtWilson,9,Central
MtWilson10,MtWilson,10,Central
MtWilson12,MtWilson,12,Central
MtWilson12,MtWilson,12,Central
MtWilson2,MtWilson,2,Central
MtWilson3,MtWilson,3,Central
MtWilson3,MtWilson,3,Central
MtWilson3,MtWilson,3,Central
MtWilson3,MtWilson,3,Central
MtWilson3,MtWilson,3,Central
MtWilson4,MtWilson,4,Central
MtWilson4,MtWilson,4,Central
MtWilson5,MtWilson,5,Central
MtWilson5,MtWilson,5,Central
MtWilson5,MtWilson,5,Central
MtWilson8,MtWilson,8,Central
MtWilson9,MtWilson,9,Central
MtWilson9,MtWilson,9,Central
MtWilson9,Olney,9,Central
Olney1,Olney,1,Central
Olney12,Olney,12,Central
Olney12,Olney,12,Central
Olney12,Olney,12,Central
Olney12,Olney,12,Central
Olney12,Olney,12,Central
Olney13,Olney,13,Central
Olney14,Olney,14,Central
Olney15,Olney,15,Central
Olney18,Olney,18,Central
Olney20,Olney,20,Central
Olney21,Olney,21,Central
Olney23,Olney,23,Central
Olney4,Olney,4,Central
Olney4,Olney,4,Central
Olney4,Olney,4,Central
Olney5,Olney,5,Central
Olney5,Olney,5,Central
Olney6,Olney,6,Central
Termeil3,Termeil,3,South
Termeil3,Termeil,3,South
Termeil3,Termeil,3,South
Termeil3,Termeil,3,South
Termeil3,Termeil,3,South
Termeil3,Termeil,3,South
Termeil4,Termeil,4,South
Termeil4,Termeil,4,South
Termeil5,Termeil,5,South
Termeil6,Termeil,6,South
Termeil6,Termeil,6,South
Termeil7,Termeil,7,South
Termeil7,Termeil,7,South
Termeil7,Termeil,7,South
Termeil7,Termeil,7,South
Termeil9,Termeil,9,South
Termeil9,Termeil,9,South
Termeil9,Termeil,9,South
Termeil9,Termeil,9,South
Termeil9,Termeil,9,South
