Sample	likelihood
0	-1202.6092733828834
100	-1314.5461476232656
200	-1224.9784687062602
300	-1244.5600714623965
400	-1216.6211220243008
500	-1253.0152057714936
600	-1230.8646405680295
700	-1291.0371947034937
800	-1298.2489810610602
900	-1258.3540189152536
1000	-1243.1725078615495
1100	-1249.8668898865978
1200	-1227.9333499013928
1300	-1192.2843915729784
1400	-1228.275507882149
1500	-1232.8138971881972
1600	-1256.7446761001277
1700	-1223.5629794372885
1800	-1184.924973896768
1900	-1186.629239287105
2000	-1162.6365069515425
2100	-1170.3084254404037
2200	-1151.610207372935
2300	-1162.7611876477638
2400	-1124.5138949798668
2500	-1155.669344133412
2600	-1160.414024191956
2700	-1162.8505045932106
2800	-1177.2207705500973
2900	-1180.9574735146477
3000	-1176.410284613018
3100	-1163.7056654458615
3200	-1129.9511688052794
3300	-1200.1004715333509
3400	-1200.1090244949457
3500	-1219.7791852979665
3600	-1204.095076607285
3700	-1232.3057260364496
3800	-1264.5103154951262
3900	-1203.1094654882816
4000	-1216.3536214131807
4100	-1234.305801457171
4200	-1186.1801738642864
4300	-1168.9360926633094
4400	-1209.8220982882729
4500	-1162.2084345943015
4600	-1192.2566287298885
4700	-1212.8027798101493
4800	-1211.6980820696854
4900	-1226.7310146137913
5000	-1245.1703757603277
5100	-1213.352782183387
5200	-1195.7903134220435
5300	-1179.0626203377942
5400	-1179.2544160820974
5500	-1178.028581101436
5600	-1237.0652426557854
5700	-1258.0547336562313
5800	-1254.8747062799814
5900	-1174.827795107144
6000	-1183.7195143443328
6100	-1180.6842473328659
6200	-1187.1755651926358
6300	-1151.0867601723226
6400	-1147.709578676704
6500	-1214.2309045116579
6600	-1205.7635402473943
6700	-1228.7568376273625
6800	-1226.8424067137814
6900	-1152.8639821098488
7000	-1147.0524392142197
7100	-1170.71557379389
7200	-1172.6567913954016
7300	-1191.4377436893067
7400	-1193.3702437495233
7500	-1149.8685193529363
7600	-1173.25926426775
7700	-1193.8554292452127
7800	-1148.1871012143088
7900	-1119.7955212710924
8000	-1129.904914901881
8100	-1124.1864110980678
8200	-1183.3396677586693
8300	-1200.2061563981779
8400	-1220.8487510318657
8500	-1193.8813078861317
8600	-1203.3779118683397
8700	-1221.1067955232456
8800	-1379.574043914797
8900	-1224.0386447128624
9000	-1220.9775519264363
9100	-1164.3216513035832
9200	-1175.512385049029
9300	-1140.3716840283962
9400	-1189.8087695013214
9500	-1199.3111516631907
9600	-1223.6938786318233
9700	-1154.050806205009
9800	-1150.4613482929292
9900	-1180.1753900440685
10000	-1174.956102483319
10100	-1190.761885370006
10200	-1208.9255660451042
10300	-1217.8936773270618
10400	-1202.4348391561853
10500	-1185.3239244160766
10600	-1233.4969936556315
10700	-1204.9280625915503
10800	-1246.735635437763
10900	-1253.3447041208008
11000	-1230.4380644263333
11100	-1239.6214335597926
11200	-1157.6192077214657
11300	-1141.570675240134
11400	-1151.5094250454451
11500	-1127.5952323333902
11600	-1151.728738152125
11700	-1162.4930258633906
11800	-1155.7928165502983
11900	-1158.4901412178629
12000	-1174.3915818307203
12100	-1183.7201209711443
12200	-1178.9487268398661
12300	-1157.0987659044195
12400	-1148.9857457752105
12500	-1143.0449693450846
12600	-1147.5037128707554
12700	-1132.1585496862367
12800	-1124.3343483472893
12900	-1122.9686442090538
13000	-1209.8415329218017
13100	-1201.1110684139453
13200	-1180.704221585477
13300	-1148.8637180337248
13400	-1145.3355336940263
13500	-1135.8218767508483
13600	-1141.8969754013306
13700	-1135.6900330592846
13800	-1134.1198451964312
13900	-1104.9463748067292
14000	-1102.5154789909982
14100	-1126.7653415024695
14200	-1109.5670394377664
14300	-1160.9774467215075
14400	-1164.630632114179
14500	-1132.9684284685889
14600	-1166.8099197842887
14700	-1153.9102381942841
14800	-1170.2425860808657
14900	-1242.441647638182
15000	-1147.5761511173182
15100	-1106.123837840527
15200	-1155.3473115381541
15300	-1086.1974300745558
15400	-1069.8598400601322
15500	-1083.6466243019245
15600	-1063.496250480592
15700	-1061.8822110886156
15800	-1084.87649600056
15900	-1100.1691500851944
16000	-1096.6459283152526
16100	-1107.2430144603156
16200	-1090.1572610132857
16300	-1131.7229005510762
16400	-1130.2255948548209
16500	-1109.7792073664273
16600	-1132.3035863192347
16700	-1208.4308952868987
16800	-1256.4675877453258
16900	-1247.3536492820062
17000	-1223.7577050888026
17100	-1256.2184597111182
17200	-1242.8809512725898
17300	-1263.1899851727092
17400	-1160.873078295934
17500	-1167.370805778944
17600	-1165.8907050753646
17700	-1156.187109897608
17800	-1163.4738561935008
17900	-1181.1547115596009
18000	-1171.3478398252103
18100	-1125.9004310609682
18200	-1171.5226898375486
18300	-1161.4014463994065
18400	-1168.6345797779259
18500	-1154.7707068365135
18600	-1119.9840811404747
18700	-1200.8586450048688
18800	-1175.1882266841799
18900	-1150.4156390232554
19000	-1088.9642932369368
19100	-1093.7623272315157
19200	-1106.2585228250416
19300	-1078.6637125020386
19400	-1133.649384211569
19500	-1144.2015574437341
19600	-1113.5807015922703
19700	-1139.970698646259
19800	-1115.4258382283144
19900	-1123.2389067277581
20000	-1115.925676935894
20100	-1091.3094409664586
20200	-1130.1627281979997
20300	-1132.9083964765177
20400	-1113.3771506449236
20500	-1117.9566939781732
20600	-1123.170672345602
20700	-1159.0180604424518
20800	-1188.419599789439
20900	-1168.48229932525
21000	-1099.0425109971673
21100	-1186.5214775241056
21200	-1169.817644040019
21300	-1175.8517946796057
21400	-1164.3584322657894
21500	-1162.8161711981877
21600	-1108.5430188683827
21700	-1172.5776862596517
21800	-1154.9718682215923
21900	-1195.351801420455
22000	-1128.263581097981
22100	-1196.263621855245
22200	-1185.5644310179048
22300	-1189.4458979601532
22400	-1196.0790647796093
22500	-1177.4033867475232
22600	-1179.6491746525392
22700	-1204.7103379583432
22800	-1182.0921069773542
22900	-1217.4509644388384
23000	-1209.9375681012034
23100	-1148.6172648992758
23200	-1228.3834866273214
23300	-1218.480394976393
23400	-1287.4937843810746
23500	-1188.2385079332876
23600	-1149.7207824650811
23700	-1122.43349205192
23800	-1136.0920260900525
23900	-1125.4567214245692
24000	-1150.355271367455
24100	-1229.9893093856383
24200	-1293.9532788730912
24300	-1245.7875506994365
24400	-1255.943363587316
24500	-1129.5752346512133
24600	-1125.1995296841767
24700	-1096.546928726197
24800	-1129.5329021230732
24900	-1167.8415723143466
25000	-1173.4076627356576
25100	-1190.316745478008
25200	-1113.1567091844934
25300	-1114.6406561814567
25400	-1132.1256289871135
25500	-1132.1447159733846
25600	-1171.3223855021304
25700	-1159.79318316595
25800	-1138.5793919091998
25900	-1155.1118316872394
26000	-1206.7245803611686
26100	-1169.2855981252285
26200	-1177.121289504482
26300	-1076.7192110170315
26400	-1130.3598279360292
26500	-1103.380064915628
26600	-1135.9769200732771
26700	-1109.7870204106239
26800	-1109.858640003873
26900	-1206.8103789370364
27000	-1134.9159690779368
27100	-1127.4839153992152
27200	-1163.1109462376585
27300	-1172.817237541164
27400	-1174.774859051771
27500	-1175.470436583077
27600	-1177.4242666993243
27700	-1196.0488224413102
27800	-1174.8938483332329
27900	-1138.525385784174
28000	-1135.6079002126949
28100	-1167.217326118957
28200	-1152.686171854193
28300	-1172.3493629855257
28400	-1174.7202066326304
28500	-1169.4641175034049
28600	-1187.2604106068497
28700	-1115.036286124026
28800	-1105.1210954491714
28900	-1110.4401517545623
29000	-1098.1544094010371
29100	-1080.708320943805
29200	-1090.4939264642076
29300	-1076.5573415968381
29400	-1078.9670310064694
29500	-1075.3426903321038
29600	-1079.2839495244136
29700	-1080.8138211596604
29800	-1103.1697716912174
29900	-1095.03974846323
30000	-1097.1283558409789
30100	-1172.7799969833527
30200	-1144.017880472412
30300	-1132.9832146992953
30400	-1106.8903408892525
30500	-1156.4764146614689
30600	-1094.362382888381
30700	-1098.7980572963781
30800	-1128.420021532162
30900	-1132.4502751765317
31000	-1119.5354687070992
31100	-1119.385710866972
31200	-1118.1381259828836
31300	-1110.5838481783753
31400	-1094.5224315354099
31500	-1101.4172505452827
31600	-1108.6424126384122
31700	-1104.0244816121965
31800	-1080.8081129217783
31900	-1115.4211912019061
32000	-1100.6248773925943
32100	-1091.7942456669941
32200	-1123.5751127297845
32300	-1123.8463222718478
32400	-1135.7681753496877
32500	-1124.626899090224
32600	-1123.6144199514185
32700	-1124.797700581548
32800	-1151.9480650379464
32900	-1208.3542025674808
33000	-1182.427693340301
33100	-1179.9083589637755
33200	-1173.7296410560223
33300	-1181.7447421479906
33400	-1195.8344044299715
33500	-1184.6921266791192
