#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <prior id="lambdaPrior.Ai" name="distribution">
#            <parameter id="lambda" lower="0.0" name="x" spec="beast.core.parameter.RealParameter">10.0</parameter>
#            <Gamma id="Gamma.0" name="distr">
#                <parameter estimate="false" id="RealParameter.1" name="alpha" spec="beast.core.parameter.RealParameter">2.0</parameter>
#                <parameter estimate="false" id="RealParameter.2" name="beta" spec="beast.core.parameter.RealParameter">200.0</parameter>
#            </Gamma>
#        </prior>
#        <distribution id="snapprior.Ai" lambda="@lambda" spec="snap.likelihood.SnAPPrior">
#            <parameter estimate="false" id="alpha" lower="0.0" name="alpha" spec="beast.core.parameter.RealParameter">11.75</parameter>
#            <parameter estimate="false" id="beta" lower="0.0" name="beta" spec="beast.core.parameter.RealParameter">109.73</parameter>
#            <parameter estimate="false" id="kappa" lower="0.0" name="kappa" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <parameter id="coalescenceRate" name="coalescenceRate" spec="beast.core.parameter.RealParameter">10.0</parameter>
#            <tree clusterType="upgma" id="Tree.Ai" nodetype="snap.NodeData" spec="beast.util.ClusterTree">
#                <taxa dataType="integerdata" id="snap.Ai" spec="snap.Data">
#                    <taxonset id="South" spec="beast.evolution.alignment.TaxonSet">
#                        <taxon id="SthBarrington_BT10a1" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="SthBarrington_BT8a1" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="SthBarrington_BT9c1" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="MtWilson_MW12bm" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="MtWilson_MW5bm" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Termeil_Te3bf" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Termeil_Te3c1" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Broadwater_BW10af" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Broadwater_BW19cf" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Broadwater_BW31am" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Dampier_Da11a2" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Dampier_Da19a1" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="MaresForest_MF13a1" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="MaresForest_MF17am" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Olney_Ol20bm" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Olney_Ol4bm" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Cumberland_Cu12a1" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Cumberland_Cu6a1" spec="beast.evolution.alignment.Taxon"/>
#                    </taxonset>
#                    <taxonset id="North" spec="beast.evolution.alignment.TaxonSet">
#                        <taxon id="Kerewong_Ke18dm" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Kerewong_Ke21b1" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="NthBarrington_BT4a2" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="NthBarrington_BT6a1" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Dorrigo_Do2c2" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Dorrigo_Do5bm" spec="beast.evolution.alignment.Taxon"/>
#                    </taxonset>
#                </taxa>
#                <parameter id="RealParameter.0" lower="0.0" name="clock.rate" spec="beast.core.parameter.RealParameter" upper="0.0">1.0</parameter>
#            </tree>
#        </distribution>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution">
#        <distribution data="@snap.Ai" id="treeLikelihood.Ai" pattern="coalescenceRate" spec="snap.likelihood.SnAPTreeLikelihood" tree="@Tree.Ai">
#            <siteModel id="MutationSiteModel.Ai" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate" name="mutationRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="shape" name="shape" spec="beast.core.parameter.RealParameter">2.0</parameter>
#                <parameter estimate="false" id="proportionInvariant" name="proportionInvariant" spec="beast.core.parameter.RealParameter">0.0</parameter>
#                <substModel coalescenceRate="@coalescenceRate" id="MutationModel" spec="snap.likelihood.SnapSubstitutionModel">
#                    <parameter estimate="false" id="u" lower="0.0" name="mutationRateU" spec="beast.core.parameter.RealParameter">1.7346278317152102</parameter>
#                    <parameter id="v" lower="0.0" name="mutationRateV" spec="beast.core.parameter.RealParameter">0.7024901703800787</parameter>
#                </substModel>
#            </siteModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	theta0	theta1	theta2	TreeHeightLogger
0	-1575.6116101108378	-1398.7380282361041	-176.87358187473362	0.19386391761454963	0.04067222096179136	0.1887346595637771	8.47308400265528
1000	-1566.7668271788468	-1402.1347892978883	-164.6320378809584	0.16687230241790024	0.05428592947438865	0.08825820989875345	1.0639648595591353
2000	-1573.6705436544607	-1410.9862935997471	-162.68425005471374	0.11923799940390531	0.06568077401266588	0.11064285560869234	1.301638334609309
3000	-1566.4637091359514	-1400.849562126838	-165.61414700911337	0.1760160374038067	0.0405801316315056	0.12877454938194677	0.7220862489075981
4000	-1571.3080644625998	-1400.0030403632181	-171.3050240993815	0.17816894897183796	0.04558960179511197	0.0503677815073098	1.3401770351165487
5000	-1567.6046461623923	-1402.1336721519383	-165.47097401045406	0.1596546527677276	0.050897644541537806	0.13654288140353213	1.3129013823768747
6000	-1566.2877365238726	-1402.3599359050954	-163.92780061877716	0.18999320357594987	0.051016719449909376	0.11361029568757458	0.6027806383208404
7000	-1566.850857287361	-1399.8573140877074	-166.9935431996535	0.17661727038888686	0.04263076656727824	0.08998258301176904	1.2495418456102958
8000	-1567.1452449177996	-1399.953003737001	-167.19224118079853	0.17255909834696492	0.041380985886333925	0.12466230835634513	1.884942221638837
9000	-1566.3535194492367	-1399.1036897966842	-167.2498296525526	0.19317238707198814	0.044764007930752255	0.12097260440770186	1.819632490250318
10000	-1567.6958810356248	-1403.0391092310729	-164.656771804552	0.1492488897563967	0.0482618189518496	0.08768866877399777	1.1710797520259852
11000	-1566.541498961418	-1400.5131242673074	-166.0283746941106	0.22024483326472807	0.05703401414111401	0.10887126137362253	1.0162107761255874
12000	-1567.0394244284662	-1400.36366907245	-166.67575535601623	0.19398062157354837	0.054042545928997356	0.07009040688644819	1.2198911109895971
13000	-1568.7466699551192	-1407.123964443143	-161.62270551197605	0.14192840893075148	0.06114637640367465	0.09902457281903065	0.7227723985007442
14000	-1567.1837551926237	-1404.5403815074833	-162.64337368514055	0.1663364348185177	0.0672497259606083	0.11471282743958489	1.0303325854047027
15000	-1567.684506471579	-1401.4240749725757	-166.26043149900318	0.20754553515424834	0.059448098387633846	0.06415777910283407	0.8806277817208464
16000	-1565.809298547065	-1400.7266295669394	-165.0826689801256	0.2018248735506959	0.05375928211679372	0.13820768244892223	0.8181504098580242
17000	-1568.6185220438476	-1399.154801914455	-169.46372012939256	0.18156329276384767	0.037182325230660195	0.07259421658654178	1.8365147641905752
18000	-1566.8557025302305	-1403.1421167998353	-163.7135857303952	0.16661372264145008	0.05886644138099978	0.08233653521583684	0.9288565896748865
19000	-1571.2884899511187	-1399.7503842692722	-171.53810568184636	0.23667973933129288	0.05377970075248162	0.11011752211072945	9.655236559389467
20000	-1566.43653833043	-1401.8243292728175	-164.61220905761246	0.15925277945392022	0.04607539306579017	0.12186849078592367	0.9973806198840054
21000	-1567.7891086245177	-1399.5584401379572	-168.2306684865604	0.18085687070998913	0.04324395230695765	0.11436749221787156	1.7647942723718328
22000	-1566.9813798418493	-1402.4761531984989	-164.50522664335034	0.17477502672308953	0.06129665342861299	0.09952154439545723	1.8605387252389967
23000	-1567.4454066404578	-1402.6702319864069	-164.77517465405097	0.18133319149420546	0.05882474207910794	0.06591160170286486	0.7819654775795595
24000	-1572.277947832057	-1398.3301731121621	-173.94777471989474	0.2229652201373402	0.034831643026834135	0.24305754080224026	0.9506544214451115
25000	-1565.9731767009978	-1401.5463974296788	-164.42677927131905	0.20531637958229024	0.060278755126873786	0.1077448402345808	0.8842828455669555
26000	-1566.6632502548991	-1401.7691775420863	-164.89407271281283	0.1630274708740578	0.04852824350218078	0.0825492858856132	0.9967756779687804
27000	-1571.4224884654745	-1408.7185932554326	-162.70389521004188	0.1505970129454207	0.07516088347219238	0.16790135849827822	0.720049653117577
28000	-1569.1473970994623	-1401.1824284463937	-167.96496865306867	0.21148912069608677	0.0621946373666972	0.13527869266898587	3.539639776990996
29000	-1567.958342492148	-1404.5754863153668	-163.3828561767812	0.1709977049169285	0.06772478869767692	0.11550713843806218	0.8767977338011183
30000	-1568.2718749071641	-1403.184600746218	-165.08727416094632	0.16502941523131245	0.0555006703878735	0.069110352136674	0.7961731245048687
31000	-1568.0680294964427	-1404.493758609105	-163.57427088733758	0.14775228718622468	0.04455367755551977	0.12210311700215777	0.6367336574700514
32000	-1571.143893474079	-1404.7136230261654	-166.4302704479136	0.1524162518463731	0.061641794995824346	0.05067088979252289	1.2168087921765582
33000	-1566.3262975055982	-1402.9469886945753	-163.3793088110228	0.18414884817450314	0.0648637951247741	0.12827200256222898	0.967720650294408
34000	-1567.0164805797165	-1400.8988466795722	-166.11763390014434	0.1837217028568819	0.045183563250509845	0.12559655857688343	0.7075094791479043
35000	-1566.9174147335361	-1398.573029387915	-168.34438534562113	0.21054912862393452	0.03876199567929448	0.09077138876794934	0.9788890612972793
