Sample	likelihood
0	-2361.695027370461
100	-2218.3446600721463
200	-2478.6469326780752
300	-2094.798818147926
400	-1973.6189502490786
500	-2208.4709542734354
600	-3064.5549712244665
700	-2929.786187463708
800	-3038.1394844895285
900	-2831.051833960689
1000	-3074.822175080973
1100	-2843.3605345552687
1200	-2899.986662055039
1300	-2994.1476170499827
1400	-2938.533812008997
1500	-2874.2041282471664
1600	-2764.6791929084397
1700	-2541.396662959006
1800	-2783.7522097576043
1900	-2579.8706333645005
2000	-2330.4792631957907
2100	-2951.226623602862
2200	-3153.4171693755193
2300	-3061.3068177853906
2400	-3161.013765081556
2500	-3244.0083805164477
2600	-3029.2544736694267
2700	-2904.5775982986697
2800	-2775.3805671735113
2900	-2499.208772163186
3000	-2735.7840047502887
3100	-3108.0711229528856
3200	-3057.230614843352
3300	-3012.170464575499
3400	-3047.5510177324063
3500	-2999.528456507035
3600	-2938.6425736582723
3700	-2898.411301936595
3800	-2548.2325369057767
3900	-2613.4389230176075
4000	-3058.4739998401797
4100	-2411.9054572021832
4200	-2440.2701768917364
4300	-2621.947925166267
4400	-2696.9887928446847
4500	-2933.851990773841
4600	-2656.219303767073
4700	-2404.8465985691114
4800	-2892.4800026168678
4900	-2986.8475829863432
5000	-3221.2220346830886
5100	-2966.4899369417103
5200	-3202.9102535648126
5300	-2985.91765130126
5400	-2975.6439604659768
5500	-2888.928076050186
5600	-2892.3531034832395
5700	-2641.3747553466355
5800	-2711.6016499238804
5900	-2358.4156788692203
6000	-2799.103646886485
6100	-2555.9457610452796
6200	-2333.8948425612152
6300	-2377.670140678225
6400	-2477.7793641972116
6500	-2764.247009265746
6600	-3040.74469217095
6700	-2385.6219975405797
6800	-2531.730171262948
6900	-2413.588847127635
7000	-2900.8868534915828
7100	-2618.00113494966
7200	-2842.9345988921755
7300	-3010.281035735417
7400	-3092.8110370674963
7500	-2979.7734957812186
7600	-2906.4034733945737
7700	-2789.6175464426706
7800	-3094.6034990139933
7900	-3049.1599295792553
8000	-2267.458068848304
8100	-2723.85347298701
8200	-2209.31145194433
8300	-2385.0528994509204
8400	-2878.4501087555877
8500	-2446.864149399338
8600	-3061.3095590142757
8700	-3116.9064471262946
8800	-2990.8053958453434
8900	-2949.807413248025
9000	-2990.2628703862833
9100	-3064.601202303874
9200	-3106.1526897498507
9300	-2892.2109803044723
9400	-3127.8346779631643
9500	-2939.8130168488215
9600	-2961.966321334786
9700	-3130.0806542347436
9800	-3149.058028762192
9900	-3094.975729947844
10000	-2928.223937415625
10100	-3017.04326551553
10200	-2555.8845510708093
10300	-2335.001877307186
10400	-1953.0977007740148
10500	-2504.3827977964625
10600	-2236.660496311226
10700	-2221.0283335153986
10800	-2085.211157009752
10900	-1745.1375026206263
11000	-2563.0758818871045
11100	-2922.1124400760395
11200	-3198.3230530331684
11300	-3004.398701363245
11400	-2981.2062439938604
11500	-3030.7601265480093
11600	-2884.6534380736684
11700	-3199.092055528438
11800	-3030.157671323443
11900	-3199.855483613513
12000	-3169.0812365939946
12100	-3189.895696709784
12200	-2803.5114137842293
12300	-2167.84125644058
12400	-2524.104748536469
12500	-2399.0009188479144
12600	-1849.4702950757319
12700	-2258.2001695238278
12800	-2348.9064149752285
12900	-2246.057949132038
13000	-2186.3555226332833
13100	-1946.7484274456
13200	-1913.904889666436
13300	-1719.4664230802132
13400	-1962.560530848655
13500	-1906.2194882219678
13600	-1843.008852489695
13700	-1591.1992281430375
13800	-2284.2428586295937
13900	-1775.2216643635547
14000	-1785.3830674515384
14100	-2158.0742218194073
14200	-2609.4013744996523
14300	-1870.1051024776834
14400	-1949.089052138977
14500	-2498.150687555417
14600	-2225.29790835544
14700	-2453.3461098675075
14800	-2456.431108947982
14900	-2394.8130610905446
15000	-2432.172343315791
15100	-2563.799287916945
15200	-2255.4931704929336
15300	-2657.3538509876857
15400	-2384.105402653163
15500	-2433.1659230691303
15600	-2355.5758503341176
15700	-2696.1905848199663
15800	-2889.8174461961516
15900	-3013.8604929492053
16000	-2784.5592301275938
16100	-2868.471767333771
16200	-3182.87398764387
16300	-3232.0880554660844
16400	-2695.6622502028895
16500	-2813.3220021794823
16600	-2640.086178598208
16700	-2868.306419329355
16800	-2223.5711707172914
16900	-2252.944186260124
17000	-2537.3760642729208
17100	-2597.7014535638364
17200	-3005.5354300276217
17300	-3115.221985461841
17400	-2794.4974074269294
17500	-3011.165624282354
17600	-2821.9898639535463
17700	-2866.504838934281
17800	-2829.548153791392
17900	-2643.9119275303046
18000	-2626.4661605507445
18100	-2536.607699340928
18200	-3275.9071875876825
18300	-3189.866476765078
18400	-3028.647732078494
18500	-2928.100613402938
18600	-2607.0096155498927
18700	-2483.5120721959347
18800	-2014.0699147197467
18900	-2384.6529954054363
19000	-2672.8855947319653
19100	-2666.07864053468
19200	-2777.4252791705835
19300	-2818.3592718004343
19400	-2937.023290180625
19500	-2834.908261565266
19600	-2920.8233487782954
19700	-2913.966082864071
19800	-3103.5600663129553
19900	-2976.3756002013515
20000	-2895.1769314624503
20100	-3137.7407336461083
20200	-3151.7063534704102
20300	-3046.4458256260314
20400	-2979.384349205274
20500	-2982.4038243842515
20600	-2955.738366566141
20700	-3066.533719673
20800	-2848.827483982187
20900	-3071.6987810252463
21000	-2933.234221015019
21100	-3119.573288420078
21200	-3133.164927790353
21300	-2348.493885465337
21400	-2491.2713921010995
21500	-2505.7099793164725
21600	-2288.281568325834
21700	-2284.887742387392
21800	-1726.2538597171383
21900	-1730.7532279765087
22000	-1683.5211280212616
22100	-2296.483856788739
22200	-1992.0342700123858
22300	-2042.504105248895
22400	-2164.2958284357055
22500	-1984.1922404985107
22600	-1797.2470458675698
22700	-1755.9561620912139
22800	-1763.7645613179334
22900	-2167.3947294199493
23000	-2275.9262429392957
23100	-2579.452209253785
23200	-2622.9043296342497
23300	-2467.0572514659607
23400	-2324.1785907171097
23500	-1596.876299347495
23600	-1770.0239088626038
23700	-1990.5231784836553
23800	-2282.283103556316
23900	-2820.1682285234683
24000	-2918.69164090862
24100	-3103.0219246876736
24200	-2489.210112558252
24300	-2386.791586043274
24400	-2209.09419063432
24500	-2082.2744239672857
24600	-1856.6248052203837
24700	-1942.6929122284437
24800	-1908.6343882048461
24900	-1795.4979689030201
25000	-2193.14465365386
25100	-2698.7008315352823
25200	-2670.029897077088
25300	-2357.2506451347604
25400	-2373.48162615549
25500	-2239.7753778655815
25600	-1796.8753075327054
25700	-2214.0911031289243
25800	-1892.9831687103967
25900	-1863.6159915222897
26000	-1955.1123990033643
26100	-2382.047414412822
26200	-2513.088030545967
26300	-2173.574924816843
26400	-1955.3077970537468
26500	-2639.4196907469477
26600	-2653.714791866667
26700	-2552.842697952631
26800	-2642.9061669740872
26900	-2714.3743210354123
27000	-2229.793459687985
27100	-1943.1849068065726
27200	-2276.8889110036325
27300	-2843.564271252637
27400	-2890.4494770611814
27500	-2618.474586134116
27600	-2599.7822523395057
27700	-2929.1717819779064
27800	-2633.8495747461834
27900	-2560.9112020257544
28000	-1873.072533713556
28100	-2215.84387116842
28200	-2138.9949821923865
28300	-2274.712786956419
28400	-2228.354528338423
28500	-2954.834443831457
28600	-2744.8422035969384
28700	-2530.057093905183
28800	-2721.3547326202224
28900	-2955.411648982777
29000	-2913.0814146440784
29100	-2929.947290813486
29200	-2936.8748565233645
29300	-2877.351509550225
29400	-2851.5535464398677
29500	-3010.9139588079643
29600	-2693.8583235938763
29700	-2820.0285170748384
29800	-2710.572440378224
29900	-2784.2243720787183
30000	-2572.719424078069
30100	-2675.5904744127956
30200	-2542.9147802047555
30300	-2231.2336825293933
30400	-2633.0367906233805
30500	-2493.5436033660894
30600	-2442.622761844522
30700	-2899.4597175161352
30800	-2893.6493680488143
30900	-2816.7601469793417
31000	-3119.565029158252
31100	-2923.181270853985
31200	-2912.8936620728628
31300	-2849.62441149017
31400	-2855.8094524530725
31500	-2787.206399226506
31600	-2362.798262801852
31700	-2542.9342092774996
31800	-2518.451504455382
31900	-2750.066873909207
32000	-2368.661569219257
32100	-2262.7425412874663
32200	-2592.730701669181
32300	-2311.437929338905
32400	-2730.533661548373
32500	-2532.374147824927
32600	-2985.958311893528
32700	-2445.9479681461894
32800	-2351.5896690978484
32900	-2533.3188344061255
33000	-2645.06683873125
33100	-2825.6188581797196
33200	-2899.9528710288846
33300	-2332.7471870370937
33400	-2040.5607043957086
33500	-2137.0578351979993
33600	-3094.1879038109832
33700	-2138.468490921068
33800	-2816.690417765661
33900	-2671.9145630853372
34000	-2843.56844528694
34100	-2188.709096701141
34200	-1950.687249854566
34300	-2062.541760855007
34400	-2328.743535297721
34500	-3176.227297547241
34600	-2590.705634400816
34700	-2831.126528606108
34800	-3029.749518659549
34900	-3178.123902705338
35000	-3153.3533168653425
35100	-3025.707739426584
35200	-2644.7097615637576
35300	-2834.0937309977317
35400	-2855.8390535857316
35500	-2774.8150507027703
35600	-2625.5807589301585
35700	-2590.4202359115407
35800	-2399.9527282586287
35900	-2471.5439142573296
36000	-2742.1924274732555
36100	-3070.471935440832
36200	-2992.726785485892
36300	-2823.9218721022944
36400	-3025.030301558278
36500	-2992.541224926083
36600	-2959.4182678329294
36700	-2529.8931416543883
36800	-2580.1226689477803
36900	-2934.149197509578
37000	-2688.4058139750573
37100	-3093.1567703354763
37200	-2974.6282304827714
37300	-2894.2414720916904
37400	-2938.069208034042
37500	-2779.2623331921777
37600	-2780.044402926983
37700	-2570.8707708323063
37800	-2251.7722633370317
37900	-2217.747239584884
38000	-2417.540090678297
38100	-2609.0756263521416
38200	-2968.085422551184
38300	-2540.5762940690947
38400	-2075.8977310924247
38500	-2175.3685492051
38600	-2399.8539526598915
38700	-2287.4614199372913
38800	-2378.8633297189263
38900	-2734.793172603272
39000	-2305.2286582345077
39100	-1947.7405541966154
39200	-2275.0033359967647
39300	-2796.6041957216266
39400	-2556.348915556023
39500	-2780.932592385431
39600	-2428.1514883767354
39700	-2290.9843679327532
39800	-2732.921971905933
39900	-2584.7697226243763
40000	-2879.9460407351644
40100	-2845.217783087118
40200	-2693.8137202808366
40300	-2685.874698843196
40400	-2940.1858820834104
40500	-3225.131626999938
40600	-3206.8279459719583
40700	-3258.8477959260013
40800	-2306.0702939927005
40900	-2705.8405953520232
41000	-2039.989577913444
41100	-1884.1914321029521
41200	-2177.04782017053
41300	-2286.442653894486
41400	-1759.784865501575
41500	-2309.8213429579955
41600	-2876.699820010152
41700	-2379.366201403408
41800	-2766.778822005957
41900	-1893.2999961406085
42000	-2796.2418078631135
42100	-2843.3324239228623
42200	-2923.6080140043764
42300	-2807.705134863063
42400	-2879.0656319298887
42500	-2632.45382674876
42600	-2524.7000381404296
42700	-2405.995276519875
42800	-1840.5450268220002
42900	-1966.7516851770088
43000	-2166.8094159244683
43100	-2629.467310857256
43200	-2379.2944220223535
43300	-2292.9394301605544
43400	-2487.179393565778
43500	-2362.4294965127506
43600	-2152.7184182072237
43700	-2934.331927937157
43800	-3181.926007803175
43900	-2952.7850810377076
44000	-3089.751654796528
44100	-3147.2007664433327
44200	-3219.250958954206
44300	-3155.6470106036013
44400	-3101.8596385864666
44500	-3218.1696355271965
44600	-3209.665419347944
44700	-3235.6534318614567
44800	-3239.835810093135
44900	-3192.426386315549
45000	-3185.929991091543
45100	-3180.21608712441
45200	-3212.3723006672617
45300	-3227.6215267805615
45400	-3216.831052941309
45500	-3111.054082905084
45600	-2995.7925225394324
45700	-2601.696229659411
45800	-2273.695281330939
45900	-2220.4230662892924
46000	-2242.354686221607
46100	-3052.0002394071266
46200	-2448.909499264657
46300	-1600.6894926055525
46400	-2183.8144170343608
46500	-2269.6056352849155
46600	-2933.183610772289
46700	-3169.6308457544906
46800	-3105.38366247614
46900	-3194.4067427974087
47000	-2953.8463457755515
47100	-2775.2920806413504
47200	-2508.89285996819
47300	-3225.840323423046
47400	-3007.5938573705766
47500	-2963.5761595721187
47600	-3083.228063850073
47700	-3037.2363936101206
47800	-2904.925622430622
47900	-2187.7190962788195
48000	-2413.869321605456
48100	-2571.0130892439292
48200	-3132.386431804371
48300	-3162.7599272984558
48400	-3136.6532324929753
