#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <prior id="lambdaPrior.Ai" name="distribution">
#            <parameter id="lambda" lower="0.0" name="x" spec="beast.core.parameter.RealParameter">10.0</parameter>
#            <Gamma id="Gamma.0" name="distr">
#                <parameter estimate="false" id="RealParameter.1" name="alpha" spec="beast.core.parameter.RealParameter">2.0</parameter>
#                <parameter estimate="false" id="RealParameter.2" name="beta" spec="beast.core.parameter.RealParameter">200.0</parameter>
#            </Gamma>
#        </prior>
#        <distribution id="snapprior.Ai" lambda="@lambda" spec="snap.likelihood.SnAPPrior">
#            <parameter estimate="false" id="alpha" lower="0.0" name="alpha" spec="beast.core.parameter.RealParameter">11.75</parameter>
#            <parameter estimate="false" id="beta" lower="0.0" name="beta" spec="beast.core.parameter.RealParameter">109.73</parameter>
#            <parameter estimate="false" id="kappa" lower="0.0" name="kappa" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <parameter id="coalescenceRate" name="coalescenceRate" spec="beast.core.parameter.RealParameter">10.0</parameter>
#            <tree clusterType="upgma" id="Tree.Ai" nodetype="snap.NodeData" spec="beast.util.ClusterTree">
#                <taxa dataType="integerdata" id="snap.Ai" spec="snap.Data">
#                    <taxonset id="Central" spec="beast.evolution.alignment.TaxonSet">
#                        <taxon id="SthBarrington_BT10a1" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="SthBarrington_BT8a1" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="SthBarrington_BT9c1" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="MtWilson_MW12bm" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="MtWilson_MW5bm" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="MaresForest_MF13a1" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="MaresForest_MF17am" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Olney_Ol20bm" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Olney_Ol4bm" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Cumberland_Cu12a1" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Cumberland_Cu6a1" spec="beast.evolution.alignment.Taxon"/>
#                    </taxonset>
#                    <taxonset id="South" spec="beast.evolution.alignment.TaxonSet">
#                        <taxon id="Termeil_Te3bf" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Termeil_Te3c1" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Broadwater_BW10af" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Broadwater_BW19cf" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Broadwater_BW31am" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Dampier_Da11a2" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Dampier_Da19a1" spec="beast.evolution.alignment.Taxon"/>
#                    </taxonset>
#                    <taxonset id="North" spec="beast.evolution.alignment.TaxonSet">
#                        <taxon id="Kerewong_Ke18dm" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Kerewong_Ke21b1" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="NthBarrington_BT4a2" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="NthBarrington_BT6a1" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Dorrigo_Do2c2" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Dorrigo_Do5bm" spec="beast.evolution.alignment.Taxon"/>
#                    </taxonset>
#                </taxa>
#                <parameter id="RealParameter.0" lower="0.0" name="clock.rate" spec="beast.core.parameter.RealParameter" upper="0.0">1.0</parameter>
#            </tree>
#        </distribution>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution">
#        <distribution data="@snap.Ai" id="treeLikelihood.Ai" pattern="coalescenceRate" spec="snap.likelihood.SnAPTreeLikelihood" tree="@Tree.Ai">
#            <siteModel id="MutationSiteModel.Ai" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate" name="mutationRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="shape" name="shape" spec="beast.core.parameter.RealParameter">2.0</parameter>
#                <parameter estimate="false" id="proportionInvariant" name="proportionInvariant" spec="beast.core.parameter.RealParameter">0.0</parameter>
#                <substModel coalescenceRate="@coalescenceRate" id="MutationModel" spec="snap.likelihood.SnapSubstitutionModel">
#                    <parameter estimate="false" id="u" lower="0.0" name="mutationRateU" spec="beast.core.parameter.RealParameter">1.7346278317152102</parameter>
#                    <parameter id="v" lower="0.0" name="mutationRateV" spec="beast.core.parameter.RealParameter">0.7024901703800787</parameter>
#                </substModel>
#            </siteModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	theta0	theta1	theta2	theta3	theta4	TreeHeightLogger
0	-1354.5023252337508	-1094.4211032038916	-260.08122202985913	0.08094898590459197	0.11026746819108355	0.08698885799471523	0.1365001007481154	0.1413986307083316	0.4046888451361578
1000	-1348.9869889351512	-1089.4303363668269	-259.55665256832435	0.14274132492690209	0.1036018488590942	0.058381813886133345	0.0836955160298776	0.13420963263357724	0.48333494210576833
2000	-1352.9338117657608	-1096.5881835472446	-256.345628218516	0.11730999529659834	0.11666194559366828	0.11184992307211378	0.10389200809816918	0.09295515993762905	0.5199505360650438
3000	-1342.6232772867706	-1082.9775973896978	-259.64567989707274	0.08703082367061686	0.12749742854221718	0.068197346488576	0.10462918169960528	0.13573627615852163	0.8182708644649617
4000	-1341.733244361706	-1080.4752699573896	-261.2579744043164	0.1226891885184769	0.09746910352921223	0.06148723491891471	0.1585837950246018	0.09679355946964437	1.128846638170026
5000	-1347.1891868225835	-1081.8240080677133	-265.3651787548701	0.15827043412151365	0.12435134209149047	0.055458680706558905	0.11604224163856276	0.05160439578152582	1.3570335317477547
6000	-1342.4523444370277	-1082.8785541039574	-259.57379033307024	0.1191131042720078	0.0974243739019415	0.0652750683914868	0.10885699882287678	0.09828126144857445	0.7329617292893873
7000	-1348.3891776886612	-1089.1936585715366	-259.1955191171247	0.13814788534135586	0.11346466845284373	0.09562516622488954	0.07715968817233824	0.14222309797592214	0.7105399238353466
8000	-1349.8768900640966	-1086.8179905851812	-263.0588994789156	0.06616455512688922	0.09356350707547127	0.040261729521586756	0.1491219957311543	0.1081235006034555	0.38498987423935066
9000	-1346.149704527103	-1084.594083515094	-261.55562101200894	0.1197198469751208	0.08123655569508365	0.08300956970501823	0.09334634166365656	0.07694704286728692	1.4369354146081246
10000	-1343.1432219226865	-1083.166459469776	-259.97676245291035	0.13821997365710192	0.09169867997781156	0.07291199152196205	0.08594950608072699	0.13216030956832375	0.9313879354103326
11000	-1348.001678396269	-1082.1706085357687	-265.83106986050024	0.08225430930263826	0.08620719042871439	0.06640961682793989	0.05422564337069226	0.056068795732299205	0.8362247241735088
12000	-1353.8186329192358	-1094.7289576539897	-259.08967526524606	0.12554368910598396	0.11499637087064658	0.10507628421727892	0.1294025473629794	0.12835266759822145	0.7446703535103465
13000	-1344.126837246869	-1083.7772606985097	-260.3495765483593	0.08854492771954278	0.08242212578611596	0.05896358133953824	0.08575274617977867	0.12944818904016014	0.5544695403865129
14000	-1352.1604967999897	-1090.7005392887127	-261.459957511277	0.05938927775512765	0.09666538292102694	0.08773627676584586	0.10260503029987315	0.08990272505866838	1.004854627812747
15000	-1350.9097714485993	-1091.0809445068303	-259.8288269417691	0.13275810991127224	0.12822654905315817	0.05808182958642972	0.1423201250184345	0.08093831942374703	0.598779190088421
16000	-1348.2954293300932	-1090.7345536827333	-257.56087564735986	0.0958335742674068	0.12637658513003958	0.06327191544396303	0.13453463014985767	0.12987468561200877	0.3520114765609505
17000	-1354.7280970334864	-1096.5269152727749	-258.20118176071145	0.07548386100365317	0.14142011440114846	0.10182632675924082	0.13699322905024136	0.11253991695845972	0.6451361555107107
18000	-1348.8268620272388	-1090.9356395985287	-257.8912224287102	0.13569701834191883	0.10044484928609734	0.06646850911951568	0.09667848613852957	0.10168524446115919	0.4841611813776301
19000	-1350.633012343516	-1084.1938752460887	-266.43913709742725	0.08118137352423226	0.052457420250201316	0.05122745375374602	0.15283938263572405	0.19513588952640734	0.5832810123402481
20000	-1351.0663516806228	-1091.034391975123	-260.03195970549973	0.11737697261878863	0.07384845118095626	0.05404056283098195	0.14386233856731562	0.08968858617337361	0.33033611945227354
21000	-1362.0006919686757	-1105.035472334156	-256.96521963451966	0.08743895553573873	0.14560660219207602	0.11607654189956086	0.09459628093244231	0.09693379888548295	0.40032282964473637
22000	-1357.956860870145	-1102.4980989220412	-255.45876194810384	0.08349689356612963	0.09308429046046073	0.09493957711367515	0.11558282509666457	0.11909329202852693	0.2924951694746023
23000	-1355.8139774389438	-1094.6462281913277	-261.16774924761603	0.11885573726868805	0.048630712357381346	0.09134597995250038	0.08745783170273713	0.10815180168949509	0.6561972788380245
24000	-1349.1679845044523	-1090.646920238862	-258.5210642655901	0.13108864541753054	0.155361806599855	0.07339448341397935	0.09560010584533324	0.16202726085232813	0.44632619694927106
25000	-1348.12988951234	-1087.981448077316	-260.1484414350241	0.09461371494084987	0.11966321759371157	0.07062990763657297	0.13187795153175236	0.059436884406317746	0.5792937009286165
26000	-1348.8318967272805	-1089.9127577468648	-258.91913898041565	0.08771358970378826	0.14444271029946434	0.06829644037089494	0.09772178846585258	0.13794734444642276	0.5268698302217182
27000	-1354.6601484236442	-1091.5244632724343	-263.1356851512098	0.18225817876628242	0.08714147698151183	0.09546178771938608	0.0751519804435769	0.1862411517244575	0.7800122804556345
28000	-1349.2938079196665	-1084.9182053543163	-264.3756025653501	0.11468332307499736	0.07050632838112736	0.05321784542394924	0.0626153017558453	0.06366496446092554	0.4683466829211735
