Sample	likelihood
0	-2080.689105438239
100	-2406.113275568456
200	-1727.1148427403718
300	-2207.4993304552395
400	-2178.6377344644834
500	-3040.51794186773
600	-2885.9891635635904
700	-2400.9048271158285
800	-2540.4234355795893
900	-2989.008475370967
1000	-2628.258699744854
1100	-2621.409475413177
1200	-2177.6993518493277
1300	-1989.5471701398365
1400	-2962.2320642389923
1500	-2723.8082795767164
1600	-2689.791769629015
1700	-2571.4043318857953
1800	-2720.855660182857
1900	-2525.9654409504183
2000	-2981.2186760423506
2100	-2523.7749985197142
2200	-3061.1542586408314
2300	-3037.6228492817845
2400	-3086.929568099221
2500	-3253.130398501092
2600	-3164.265555032376
2700	-3077.252744615295
2800	-3011.629599792176
2900	-3136.1170366347446
3000	-3016.404065020371
3100	-2927.9117719796595
3200	-2995.402045219559
3300	-2788.932773425126
3400	-3033.3689462688794
3500	-2471.666299647117
3600	-2677.403027945132
3700	-2705.541952941676
3800	-3021.6906871074093
3900	-2894.278421886695
4000	-2554.4417628765564
4100	-2213.1753679641524
4200	-1869.6989229530368
4300	-1792.4275634906794
4400	-2339.3365873058183
4500	-2496.1163522903535
4600	-1972.6769347716781
4700	-2740.3102348719426
4800	-2594.7628688682917
4900	-2525.8815774062355
5000	-2864.4281526505074
5100	-2493.625952128741
5200	-2379.9242845415133
5300	-2392.088871753094
5400	-2425.8712130220188
5500	-2626.3714217279094
5600	-3102.004592423842
5700	-3067.4473283205607
5800	-2786.5052268125196
5900	-3073.0121854629847
6000	-2768.06705521641
6100	-2095.8527464414497
6200	-2274.4350521829188
6300	-2497.176083861769
6400	-2424.7891856315323
6500	-3088.2505386830826
6600	-2869.2676556511797
6700	-3126.0676058362965
6800	-3057.9230158651885
6900	-3204.5473466289855
7000	-3066.640700661217
7100	-2635.6783505181907
7200	-2633.8137451586827
7300	-2564.0755968754743
7400	-2848.0527223529243
7500	-2750.9199778429775
7600	-3188.8599939374576
7700	-2494.2508351013043
7800	-3130.5692234198746
7900	-2846.0095265206096
8000	-2914.8437434847337
8100	-3013.3392606716548
8200	-2998.957403442708
8300	-2912.6509617375727
8400	-2867.897607824448
8500	-2342.8061074054585
8600	-2488.597639451124
8700	-2755.0546258837803
8800	-2334.0919244192314
8900	-2287.7371508892047
9000	-2250.58034948937
9100	-2456.810716638839
9200	-1937.859118347893
9300	-2236.548676239815
9400	-2772.736133697983
9500	-2594.254649588414
9600	-2479.025997795025
9700	-2044.083265062171
9800	-2526.413764466605
9900	-1877.8258615896816
10000	-2458.0399323278016
10100	-2331.3703991423276
10200	-1911.0695884438064
10300	-2568.8962868354156
10400	-2996.806532942714
10500	-2676.0856589745613
10600	-2674.4138919855664
10700	-3113.603611363119
10800	-3142.8646873707203
10900	-3210.47600875235
11000	-3208.1196006335226
11100	-2981.866934471639
11200	-3122.5198050555555
11300	-2781.9712642208538
11400	-2871.9489592962723
11500	-2784.431187662265
11600	-2328.145555638947
11700	-2231.4350278794227
11800	-3155.8065634876584
11900	-2516.3756010457964
12000	-2578.032079178161
12100	-3031.9061152549257
12200	-2860.8163219791636
12300	-2822.2738550225695
12400	-2845.315285542183
12500	-2833.787634215941
12600	-2900.118168925083
12700	-3001.9949925741917
12800	-3013.794918251901
12900	-2237.179378189774
13000	-2343.6947817266673
13100	-2146.8773676382125
13200	-2283.867185288054
13300	-2641.273167459749
13400	-2110.204239357105
13500	-2631.035012129465
13600	-2593.0112697654695
13700	-1771.460142048959
13800	-2412.6054249556773
13900	-2762.8461334265066
14000	-2781.052026539657
14100	-2838.4411992545092
14200	-2225.531288238536
14300	-2220.506561026704
14400	-2973.6774330524363
14500	-3088.064961314216
14600	-2886.948844823935
14700	-2600.2187784508706
14800	-2428.055343396489
14900	-2606.907769683421
15000	-3090.516421046489
15100	-2953.173490599701
15200	-2810.3707155105726
15300	-3123.521188380866
15400	-3078.2743171936154
15500	-3151.3533363693564
15600	-3179.147873359589
15700	-2830.839826412845
15800	-2666.414768457125
15900	-2644.758086627133
16000	-2808.3651456372463
16100	-1779.3404735064923
16200	-1878.1276339538535
16300	-2215.9411582993043
16400	-2788.6080222699798
16500	-2495.3320325608242
16600	-2600.370277823388
16700	-2891.7927871672405
16800	-3008.997844158755
16900	-2749.9608750348148
17000	-2798.9061194636547
17100	-2689.7911439529466
17200	-2438.9391675157976
17300	-2866.2512113778535
17400	-2708.9306206604438
17500	-2709.4547013907672
17600	-3063.9308247878803
17700	-2864.228575284705
17800	-3103.096410175886
17900	-2805.46933642267
18000	-2887.788445839936
18100	-3198.082474237803
18200	-3151.2487927388156
18300	-2985.228674132916
18400	-2121.115660519046
18500	-2655.179780829572
18600	-2538.4084365455515
18700	-2561.4471103193177
18800	-2931.9905974537874
18900	-2296.503543453824
19000	-2545.4652139312925
19100	-2902.486621354004
19200	-2947.3064018064265
19300	-3192.0155861684957
