"","Dorrigo","Kerewong","Barrington","Olney","Cumberland","MtWilson","MaresForest","Termeil","Dampier","Broadwater"
"Dorrigo",NA,0.558008499493403,0.794845063259846,0.94240239768919,0.941892786993907,0.944794997468284,0.946942170795424,0.934586303274535,0.934859291108022,0.954895031058008
"Kerewong",0.558008499493403,NA,0.779470225588019,0.950324208821973,0.950431833836842,0.954795435457102,0.95560444632705,0.942662591156907,0.940742887801638,0.96623254397003
"Barrington",0.794845063259846,0.779470225588019,NA,0.329137403121749,0.284331552951696,0.346403514449927,0.4086712804208,0.505444442503642,0.526127330015393,0.567970430040438
"Olney",0.94240239768919,0.950324208821973,0.329137403121749,NA,0.294367776882381,0.267095719941647,0.381174725363455,0.687895772424582,0.698111781996011,0.788101065484179
"Cumberland",0.941892786993907,0.950431833836842,0.284331552951696,0.294367776882381,NA,0.138388087203364,0.264584878034063,0.663269910984183,0.677299173384982,0.776798094341386
"MtWilson",0.944794997468284,0.954795435457102,0.346403514449927,0.267095719941647,0.138388087203364,NA,0.246252903533301,0.68420335836321,0.695704725448056,0.787111252802549
"MaresForest",0.946942170795424,0.95560444632705,0.4086712804208,0.381174725363455,0.264584878034063,0.246252903533301,NA,0.708208132106129,0.71919011396694,0.800607993966446
"Termeil",0.934586303274535,0.942662591156907,0.505444442503642,0.687895772424582,0.663269910984183,0.68420335836321,0.708208132106129,NA,0.259052845740049,0.565294597460359
"Dampier",0.934859291108022,0.940742887801638,0.526127330015393,0.698111781996011,0.677299173384982,0.695704725448056,0.71919011396694,0.259052845740049,NA,0.568375291264905
"Broadwater",0.954895031058008,0.96623254397003,0.567970430040438,0.788101065484179,0.776798094341386,0.787111252802549,0.800607993966446,0.565294597460359,0.568375291264905,NA
