"","glx.ind.names"
"1","BT10a1"
"2","BT4a2"
"3","BT6a1"
"4","BT8a1"
"5","BT8a2"
"6","BT9c1"
"7","BT9c2"
"8","BW10af"
"9","BW11a1"
"10","BW11a2"
"11","BW11b1"
"12","BW11cf"
"13","BW19cf"
"14","BW19d2"
"15","BW19df"
"16","BW20bf"
"17","BW23a1"
"18","BW24bm"
"19","BW26a2"
"20","BW27af"
"21","BW31am"
"22","BW32am"
"23","BW32bf"
"24","BW3am"
"25","BW9af"
"26","Cu10a1"
"27","Cu11a1"
"28","Cu12a1"
"29","Cu1a"
"30","Cu2a1"
"31","Cu3a1"
"32","Cu4a1"
"33","Cu5d1"
"34","Cu6a1"
"35","Cu7a1"
"36","Cu8a1"
"37","Cu9a1"
"38","Da11a2"
"39","Da11af"
"40","Da14af"
"41","Da15a2"
"42","Da15af"
"43","Da17af"
"44","Da18af"
"45","Da19a1"
"46","Da19af"
"47","Da1a2"
"48","Da1af"
"49","Da20af"
"50","Da24a1"
"51","Da29a1"
"52","Da2a1"
"53","Da3af"
"54","Da4a1"
"55","Da4af"
"56","Da7b1"
"57","Da7b2"
"58","Da9a1"
"59","Da9af"
"60","Do11b1"
"61","Do11b2"
"62","Do1a2"
"63","Do1af"
"64","Do1bm"
"65","Do2a2"
"66","Do2af"
"67","Do2c2"
"68","Do2cm"
"69","Do3a2"
"70","Do3af"
"71","Do4a1"
"72","Do4a2"
"73","Do4af"
"74","Do5a2"
"75","Do5af"
"76","Do5bm"
"77","Do6af"
"78","Do6am"
"79","Do6b2"
"80","Do6bf"
"81","Do7a2"
"82","Do7af"
"83","Do7am"
"84","Do8b1"
"85","Do8bf"
"86","Do8bm"
"87","Ke13a2"
"88","Ke17am"
"89","Ke18dm"
"90","Ke20b1"
"91","Ke20bm"
"92","Ke20bm2"
"93","Ke21b1"
"94","Ke21bm"
"95","Ke24d1"
"96","Ke3ef"
"97","Ke6b2"
"98","Ke6bf"
"99","Ke6df"
"100","Ke6ef"
"101","Ke6mb"
"102","Ke8a1"
"103","Ke8am2"
"104","MF13a1"
"105","MF13af"
"106","MF13am"
"107","MF15a1"
"108","MF15am"
"109","MF15bf"
"110","MF16a2"
"111","MF16af"
"112","MF17am"
"113","MF2a2"
"114","MF2af"
"115","MF2am"
"116","MF2b1"
"117","MF2bf"
"118","MF5bf"
"119","MF6b1"
"120","MF6bf"
"121","MF6c1"
"122","MF6cf"
"123","MF6cm"
"124","MF9a2"
"125","MF9am"
"126","MW10a1"
"127","MW12a1"
"128","MW12bm"
"129","MW2af"
"130","MW3a2"
"131","MW3am"
"132","MW3bf"
"133","MW3d1"
"134","MW3d2"
"135","MW4a1"
"136","MW4am"
"137","MW5a1"
"138","MW5am"
"139","MW5bm"
"140","MW8a1"
"141","MW9a1"
"142","MW9c1"
"143","MW9cm"
"144","Ol12a1"
"145","Ol12cf"
"146","Ol12dm"
"147","Ol12ef"
"148","Ol12em"
"149","Ol13am"
"150","Ol14a1"
"151","Ol15a1"
"152","Ol18a2"
"153","Ol1cf"
"154","Ol20bm"
"155","Ol21a2"
"156","Ol23a1"
"157","Ol4a1"
"158","Ol4bf"
"159","Ol4bm"
"160","Ol5a1"
"161","Ol5am"
"162","Ol6af"
"163","Te3a1"
"164","Te3am"
"165","Te3b1"
"166","Te3bf"
"167","Te3c1"
"168","Te3cf"
"169","Te4a2"
"170","Te4am"
"171","Te5am"
"172","Te6a2"
"173","Te6af"
"174","Te7a2"
"175","Te7am"
"176","Te7b2"
"177","Te7bf"
"178","Te9a2"
"179","Te9af"
"180","Te9am"
"181","Te9b1"
"182","Te9bm"
