,nInd,nLoc,Missing Data,Ho,HoSE,Hs,HsSE,Fis,FisSE
Barrington,5.000,600.000,40.653,0.028,0.003,0.289,0.009,0.868,0.015
Broadwater,17.000,718.000,28.981,0.024,0.003,0.028,0.003,0.110,0.031
Cumberland,12.000,792.000,21.662,0.041,0.003,0.054,0.004,0.165,0.025
Dampier,16.000,736.000,27.201,0.047,0.003,0.061,0.004,0.144,0.018
Dorrigo,14.000,604.000,40.257,0.026,0.002,0.043,0.004,0.068,0.016
Kerewong,12.000,436.000,56.874,0.015,0.003,0.023,0.003,0.188,0.048
MaresForest,11.000,807.000,20.178,0.036,0.004,0.041,0.004,0.086,0.030
MtWilson,13.000,541.000,46.489,0.036,0.003,0.046,0.004,0.152,0.026
Olney,16.000,648.000,35.905,0.044,0.004,0.056,0.004,0.152,0.023
Termeil,10.000,781.000,22.750,0.045,0.004,0.058,0.004,0.159,0.028
